file,variable,label,type,scale_or_levels,source_item,notes
species_long.csv,participant_id,Unique respondent ID,character,Qualtrics ResponseId,ResponseId,
species_long.csv,species,Species name (17 species),character,African savanna elephant; Tundra swan; Gray wolf; Coyote; Raccoon; American crow; Striped skunk; Rattlesnake; Cougar; Bald eagle; Bison; White-tailed deer; Black bear; Elk; Brown rat; Mallard duck; American robin,derived from column position,
species_long.csv,species_shown,Was this species one of the 5 randomly assigned to this respondent for the characteristics battery (Q3-Q10)?,logical,TRUE/FALSE,randomizer embedded-data columns,Q1/Q2 were collected for all 17 species regardless of this flag; Q3-Q10 are NA when FALSE
species_long.csv,liking,Species liking/disliking,numeric (1-5),1=Strongly dislike ... 5=Strongly like,Q1,
species_long.csv,hunting_approval,Approval of legal hunting of this species,numeric (1-5),1=Strongly disapprove ... 5=Strongly approve,Q2,
species_long.csv,conservation_status,Perceived conservation status,ordered factor (1-5),Critically endangered < Threatened < Of concern/vulnerable < Stable/least concern < Overabundant,Q3,NA if respondent selected 'I don't know' -- see conservation_dontknow
species_long.csv,conservation_dontknow,Respondent selected 'I don't know' for conservation status,logical,TRUE/FALSE,Q3,
species_long.csv,eating_appeal,Appeal of eating meat from this species,numeric (1-5),1=Very disgusting ... 5=Very appealing,Q4,
species_long.csv,encounter_freq,"Frequency of personally encountering species in the wild, last 5 years",numeric (1-5),1=Never ... 5=More than ten times,Q5,
species_long.csv,desire_to_see,Desire to see this species in the wild,numeric (1-5),1=Not at all ... 5=A great deal,Q6,
species_long.csv,wtp_hunt,Perceived willingness-to-pay to hunt this species (binned),numeric (1-6),"1=$0, 2=Up to $100, 3=$101-$300, 4=$301-$500, 5=$501-$1000, 6=Over $1000",Q7,Treat as ordinal; midpoint recoding available on request
species_long.csv,wtp_view,Perceived willingness-to-pay to view this species,numeric (1-6),same bins as wtp_hunt,Q8,
species_long.csv,danger_humans,Perceived danger to humans,numeric (1-5),1=Not at all dangerous ... 5=Extremely dangerous,Q9,
species_long.csv,destructive_property,Perceived destructiveness to property,numeric (1-5),1=Not at all destructive ... 5=Extremely destructive,Q10,
species_long.csv,discrepancy_score,hunting_approval - liking,numeric (-4 to 4),positive = supports hunting more than liking predicts; negative = opposes hunting despite/because of liking,derived,Core attitude-acceptability decoupling measure at the species level
attacc_long.csv,participant_id,Unique respondent ID,character,Qualtrics ResponseId,ResponseId,
attacc_long.csv,attacc_species,"Focal species (4 species, asked of all respondents)",character,Bald eagle; White-tailed deer; Coyote; White shark,Q15-Q22 blocks,
attacc_long.csv,sem_harmful_beneficial,Semantic differential: Harmful(1)-Beneficial(5),numeric (1-5),1=Harmful ... 5=Beneficial,Q15/17/19/21 _1,
attacc_long.csv,sem_unpleasant_pleasant,Semantic differential: Unpleasant(1)-Pleasant(5),numeric (1-5),1=Unpleasant ... 5=Pleasant,Q15/17/19/21 _2,
attacc_long.csv,sem_bad_good,Semantic differential: Bad(1)-Good(5),numeric (1-5),1=Bad ... 5=Good,Q15/17/19/21 _3,
attacc_long.csv,attacc_attitude,Mean of the 3 semantic-differential items,numeric (1-5),mean of sem_* items,derived,Overall focal-species attitude score
attacc_long.csv,control_overpopulated,Agreement that lethal control is acceptable when species becomes overpopulated,numeric (1-5),1=Strongly disagree ... 5=Strongly agree,Q16/18/20/22 _1,Lowest escalation level
attacc_long.csv,control_threat_interests,Agreement that lethal control is acceptable when species threatens human interests,numeric (1-5),1=Strongly disagree ... 5=Strongly agree,Q16/18/20/22 _2,Middle escalation level
attacc_long.csv,control_threat_lives,Agreement that lethal control is acceptable when species threatens human lives,numeric (1-5),1=Strongly disagree ... 5=Strongly agree,Q16/18/20/22 _3,Highest escalation level
attacc_long.csv,control_accept,Mean of the 3 control-acceptability items,numeric (1-5),mean of control_* items,derived,Overall lethal-control acceptability score
attacc_long.csv,discrepancy_score,control_accept - focal_attitude,numeric (-4 to 4),positive = more accepting of control than attitude predicts,derived,Core attitude-acceptability decoupling measure for the focal battery
person_level.csv,participant_id,Unique respondent ID,character,Qualtrics ResponseId,ResponseId,
person_level.csv,duration_sec,Survey completion time in seconds,numeric,,Duration (in seconds),
person_level.csv,progress,Percent of survey completed,numeric (0-100),,Progress,
person_level.csv,finished,Respondent reached the end of the survey,logical,TRUE/FALSE,Finished,
person_level.csv,reason_food,Acceptability of hunting to obtain food,numeric (1-5),1=Very unacceptable ... 5=Very acceptable,Q11_1,
person_level.csv,reason_recreation,Acceptability of hunting for recreation/sport,numeric (1-5),same scale,Q11_2,
person_level.csv,reason_population_control,Acceptability of hunting to control wildlife populations,numeric (1-5),same scale,Q11_3,
person_level.csv,reason_trophy,Acceptability of hunting to obtain a trophy,numeric (1-5),same scale,Q11_4,
person_level.csv,reason_reduce_conflict,Acceptability of hunting to reduce human-wildlife conflict,numeric (1-5),same scale,Q11_5,
person_level.csv,reason_conservation_revenue,Acceptability of hunting to generate conservation revenue,numeric (1-5),same scale,Q11_6,
person_level.csv,reason_indigenous_practice,Acceptability of hunting as Indigenous/Tribal cultural practice,numeric (1-5),same scale,Q11_7,
person_level.csv,reason_cultural_tradition,Acceptability of hunting as cultural/family tradition,numeric (1-5),same scale,Q11_8,
person_level.csv,method_baiting,Acceptability of hunting over bait,numeric (1-5),1=Very unacceptable ... 5=Very acceptable,Q12_1,
person_level.csv,method_captive_hunt,Acceptability of captive (fenced-in) hunts,numeric (1-5),same scale,Q12_2,
person_level.csv,method_trapping,Acceptability of trapping (leg-hold/body-grip),numeric (1-5),same scale,Q12_3,
person_level.csv,method_neck_snares,Acceptability of neck snares,numeric (1-5),same scale,Q12_4,
person_level.csv,method_dogs_predators,Acceptability of using dogs to hunt predators,numeric (1-5),same scale,Q12_5,
person_level.csv,method_dogs_birds,Acceptability of using dogs to hunt birds,numeric (1-5),same scale,Q12_6,
person_level.csv,method_aerial,Acceptability of aerial hunting,numeric (1-5),same scale,Q12_7,
person_level.csv,method_bow,Acceptability of bow hunting,numeric (1-5),same scale,Q12_8,
person_level.csv,method_firearms,Acceptability of firearms hunting,numeric (1-5),same scale,Q12_9,
person_level.csv,wvo_animal_rights,Belief: animals should have rights similar to humans (mutualism),numeric (1-7),1=Strongly disagree ... 7=Strongly agree,Q13_1,
person_level.csv,wvo_one_family,Belief: all living things are part of one family (mutualism),numeric (1-7),same scale,Q13_2,
person_level.csv,wvo_side_by_side,Belief: humans and wildlife should live side by side without fear (mutualism),numeric (1-7),same scale,Q13_3,
person_level.csv,wvo_human_needs_priority,Belief: human needs should take priority over wildlife protection (domination),numeric (1-7),same scale,Q13_4,
person_level.csv,wvo_wildlife_for_use,Belief: wildlife exist primarily for people to use (domination),numeric (1-7),same scale,Q13_5,
person_level.csv,wvo_kill_if_threat,Belief: acceptable to kill wildlife that threaten property (domination),numeric (1-7),same scale,Q13_6,
person_level.csv,wvo_mutualism,Mutualism subscale score (mean of 3 items),numeric (1-7),"mean of wvo_animal_rights, wvo_one_family, wvo_side_by_side",derived,Teel & Manfredo (2009) abbreviated wording
person_level.csv,wvo_domination,Domination subscale score (mean of 3 items),numeric (1-7),"mean of wvo_human_needs_priority, wvo_wildlife_for_use, wvo_kill_if_threat",derived,Teel & Manfredo (2009) abbreviated wording
person_level.csv,identify_hunters,Extent of personal identification with hunters/trappers,numeric (1-5),1=Not at all ... 5=Extremely,Q23_1,
person_level.csv,identify_ranchers,Extent of personal identification with ranchers,numeric (1-5),same scale,Q23_2,
person_level.csv,identify_environmentalists,Extent of personal identification with environmentalists,numeric (1-5),same scale,Q23_3,
person_level.csv,identify_farmers,Extent of personal identification with farmers,numeric (1-5),same scale,Q23_4,
person_level.csv,identify_small_business,Extent of personal identification with small business owners,numeric (1-5),same scale,Q23_5,
person_level.csv,identify_landowners,Extent of personal identification with private landowners,numeric (1-5),same scale,Q23_6,
person_level.csv,identify_outdoor_rec,Extent of personal identification with outdoor recreationists,numeric (1-5),same scale,Q23_7,
person_level.csv,identify_outdoor_viewers,"Extent of personal identification with outdoor viewers (birders, photographers)",numeric (1-5),same scale,Q23_8,
person_level.csv,identify_anglers,Extent of personal identification with anglers/fishers,numeric (1-5),same scale,Q23_9,
person_level.csv,cns_item1,CNS item 1: federal government should declare US a Christian nation,numeric (1-5),1=Strongly disagree ... 5=Strongly agree,Q30_1,Whitehead & Perry (2020)
person_level.csv,cns_item2,CNS item 2,numeric (1-5),same scale,Q30_2,
person_level.csv,cns_item3,CNS item 3,numeric (1-5),same scale,Q30_3,
person_level.csv,cns_item4,CNS item 4,numeric (1-5),same scale,Q30_4,
person_level.csv,cns_item5,CNS item 5,numeric (1-5),same scale,Q30_5,
person_level.csv,cns_item6,CNS item 6,numeric (1-5),same scale,Q30_6,
