vsid,weight,gender,age_group4,education,income,region,metro,race,hispanic,pid_base,pid_lean,vote_2024,votechoice_2024
8ae9e64f-c999-4144-a26f-77043aafa20e,0.827127862,Male,50-64,4-year or bachelor degree,"$100,000 to under $150,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
3ff6a444-b399-441f-8a96-e633e5ee94d8,1.072785078,Male,50-64,High school graduate or GED,"$150,000 to under $200,000",Midwest,Non-metro,White,No,Democrat,,I voted,Kamala Harris
eb901674-6b50-4a97-8a05-e64f5f73e1a4,0.701041399,Female,65+,Post-graduate degree,"$50,000 to under $75,000",Midwest,Metropolitan,White,No,Democrat,,I voted,Kamala Harris
8c024bd0-f06d-4ce7-8957-d2da32dbacdb,1.031828575,Male,50-64,High school graduate or GED,"$50,000 to under $75,000",Northeast,Metropolitan,White,No,Other or none,Neither,I voted,Kamala Harris
e14c91eb-2625-4d5e-8221-96871cf7344a,1.03685268,Male,65+,2-year or associate degree,"$75,000 to under $100,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
5e1da797-e66c-488f-accd-749e80e898ff,0.753897988,Female,50-64,"Some college, no degree","$75,000 to under $100,000",South,Metropolitan,White,Yes,Democrat,,I voted,Kamala Harris
d61f101b-6f8e-47b1-9667-c271438212e0,1.03685268,Male,65+,"Some college, no degree","$100,000 to under $150,000",Midwest,Metropolitan,White,No,Republican,,I voted,Donald Trump
23b273fe-ec54-450b-9099-d9a61d79b34c,0.685695039,Female,65+,Post-graduate degree,"$50,000 to under $75,000",West,Metropolitan,White,No,Independent,The Republican Party,I voted,Donald Trump
9f1bc3fb-8121-409a-99d0-5e8b40e319ef,2.492108279,Male,65+,High school graduate or GED,"$50,000 to under $75,000",South,Metropolitan,White,No,Independent,The Republican Party,I voted,Someone else
4c8c7eed-8aec-4dee-bc8a-19eb41339e83,0.858915157,Male,30-49,Post-graduate degree,"$15,000 to under $50,000",West,Metropolitan,Asian or Asian-American,No,Independent,The Republican Party,I voted,Someone else
bba07c20-f70d-421d-8e51-d8a9e1831c43,2.653944149,Female,18-29,2-year or associate degree,"$75,000 to under $100,000",West,Metropolitan,White,Yes,Independent,Neither,I voted,Someone else
07971fdc-6302-4059-86e3-27e6edc8bb18,0.746492872,Female,65+,High school graduate or GED,"$15,000 to under $50,000",Northeast,Non-metro,White,No,Republican,,I voted,Kamala Harris
59f8c847-321d-4769-aec7-975485d04c64,0.973360632,Male,65+,4-year or bachelor degree,"$150,000 to under $200,000",West,Metropolitan,White,No,Republican,,I voted,Kamala Harris
39b6ddb8-46b1-4d2b-b64f-4d1378f3ea3c,1.191580124,Female,50-64,High school graduate or GED,"Less than $15,000",Midwest,Non-metro,Native American or American Indian,No,Other or none,Neither,I was not registered to vote,
f96f9951-7b90-476d-bf9a-9e9dd8fa22cb,0.508931087,Female,65+,"Some college, no degree","$15,000 to under $50,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
f227767a-f91e-4904-981e-57a325e12815,0.710321431,Female,30-49,2-year or associate degree,"$50,000 to under $75,000",South,Metropolitan,White,No,Republican,,I voted,Donald Trump
43ca926f-0dec-4fc3-b3f6-8d402d9532c4,0.769849172,Male,50-64,4-year or bachelor degree,"More than $200,000",South,Metropolitan,Mixed race,No,Independent,The Democratic Party,I voted,Kamala Harris
46a7c286-7ffc-426e-87e9-105f266af925,0.425270579,Female,50-64,"Some college, no degree","$15,000 to under $50,000",West,Metropolitan,White,No,Republican,,I voted,Donald Trump
116aa3e5-75f8-477f-8900-3b96517e37eb,0.833136101,Female,30-49,Post-graduate degree,"$75,000 to under $100,000",Northeast,Metropolitan,Black or African-American,Yes,Republican,,I voted,Donald Trump
b28f00b9-f805-4998-875d-db2814f15a5e,0.569927012,Female,50-64,2-year or associate degree,"$50,000 to under $75,000",South,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
412ad4f4-7db4-4ef7-ae37-f712acae7246,0.387911946,Female,65+,4-year or bachelor degree,"$15,000 to under $50,000",South,Metropolitan,White,No,Independent,The Democratic Party,I voted,Kamala Harris
f92503d9-17bb-41bd-a0dd-4c11d85bcf92,2.531819372,Male,18-29,"Some college, no degree","$75,000 to under $100,000",West,Metropolitan,White,No,Independent,The Democratic Party,I voted,Someone else
9050978a-2247-4ed0-aa84-9c986496674b,0.550820485,Male,30-49,High school graduate or GED,"$15,000 to under $50,000",Northeast,Metropolitan,Black or African-American,No,Democrat,,I voted,Kamala Harris
ec12744f-2a62-490c-a249-54eb61016385,0.790298631,Male,65+,4-year or bachelor degree,"More than $200,000",South,Metropolitan,White,No,Other or none,The Democratic Party,I voted,Kamala Harris
37a2eb5a-604d-4944-837d-e8e150f243c7,0.939281643,Female,50-64,4-year or bachelor degree,"$15,000 to under $50,000",West,Metropolitan,Some other race,No,Republican,,I did not vote,
dadeb340-818e-4152-8cc9-cc3f4fcdfb8a,0.806410937,Male,50-64,2-year or associate degree,"$150,000 to under $200,000",Northeast,Metropolitan,Asian or Asian-American,No,Independent,The Democratic Party,I voted,Kamala Harris
