participant_id,duration_sec,progress,finished,has_pets,game_meat_freq,hunter_status,interested_in_hunting,hunted_species_raw,eats_meat,political_ideology,hunted_ungulates,hunted_birds_smallgame,hunted_predators,reason_food,reason_recreation,reason_population_control,reason_trophy,reason_reduce_conflict,reason_conservation_revenue,reason_indigenous_practice,reason_cultural_tradition,method_baiting,method_captive_hunt,method_trapping,method_neck_snares,method_dogs_predators,method_dogs_birds,method_aerial,method_bow,method_firearms,wvo_animal_rights,wvo_one_family,wvo_side_by_side,wvo_human_needs_priority,wvo_wildlife_for_use,wvo_kill_if_threat,identify_hunters,identify_ranchers,identify_environmentalists,identify_farmers,identify_small_business,identify_landowners,identify_outdoor_rec,identify_outdoor_viewers,identify_anglers,cns_item1,cns_item2,cns_item3,cns_item4,cns_item5,cns_item6,wvo_mutualism,wvo_domination,christian_nationalism_score
R_3oBDgzY9OnUbhFF,648,100,TRUE,FALSE,4,"Yes, I hunt or have hunted in the past",NA,"Ungulates (deer, elk),Birds or small game (duck, rabbits, pheasants)",TRUE,90,TRUE,TRUE,FALSE,5,3,4,2,4,2,5,4,1,1,2,1,4,5,1,5,5,2,5,2,5,2,6,4,1,3,2,2,1,4,3,4,1,1,5,1,2,1,3,4.333333333333333,1.8333333333333333
R_5sihjF4ipZnoVup,1396,100,TRUE,TRUE,1,No,NA,,TRUE,82,FALSE,FALSE,FALSE,4,1,4,1,1,3,4,4,3,1,1,1,2,4,3,2,4,5,4,4,4,3,3,1,1,3,1,1,1,4,3,3,1,1,5,5,1,1,4.333333333333333,3.3333333333333335,2.3333333333333335
R_5JRDvhXCuaxQUFj,493,100,TRUE,TRUE,2,"Yes, I know someone who hunts",NA,,TRUE,100,FALSE,FALSE,FALSE,4,1,4,1,4,4,5,4,1,1,1,1,1,4,1,4,3,7,7,7,1,4,5,1,1,3,1,1,3,3,3,2,1,1,5,1,1,3,7,3.3333333333333335,2
R_5OuCV9vdl5yW0r4,566,100,TRUE,TRUE,1,"Yes, I know someone who hunts",NA,,TRUE,93,FALSE,FALSE,FALSE,4,1,4,1,2,3,4,4,2,3,3,3,1,4,3,1,1,3,7,6,2,1,3,1,1,3,1,3,1,3,3,1,1,1,5,3,3,2,5.333333333333333,2,2.5
R_3g7OQfbqixNWd1C,585,100,TRUE,TRUE,4,"Yes, I hunt or have hunted in the past",NA,"Ungulates (deer, elk),Birds or small game (duck, rabbits, pheasants)",TRUE,74,TRUE,TRUE,FALSE,5,5,5,4,5,5,5,5,3,1,5,4,5,5,5,5,5,3,2,6,2,2,3,5,1,4,1,5,1,5,5,5,1,1,5,1,1,1,3.6666666666666665,2.3333333333333335,1.6666666666666667
R_6dMZJho3wwtZ2DQ,847,100,TRUE,TRUE,1,"Yes, I know someone who hunts",NA,,TRUE,83,FALSE,FALSE,FALSE,5,1,5,1,4,1,5,5,1,1,1,1,1,4,1,5,5,5,4,7,2,5,5,1,2,4,4,4,4,5,4,5,1,1,5,4,1,1,5.333333333333333,4,2.1666666666666665
R_7SQ7gztAPD6mLKx,398,100,TRUE,TRUE,2,"Yes, I know someone who hunts",NA,,TRUE,88,FALSE,FALSE,FALSE,4,2,4,1,4,4,5,3,1,1,1,1,1,4,1,5,5,6,7,7,5,1,6,1,1,4,1,1,1,5,5,2,1,1,5,2,1,4,6.666666666666667,4,2.3333333333333335
R_7oMFmW3BEKd0bBa,1030,100,TRUE,TRUE,2,"Yes, I know someone who hunts",NA,,TRUE,100,FALSE,FALSE,FALSE,4,3,4,1,2,4,5,3,3,2,1,2,1,4,1,4,4,6,6,7,2,2,2,1,1,4,1,1,1,5,3,1,1,1,5,2,1,2,6.333333333333333,2,2
R_5fY3ghB9FFqyrgl,732,100,TRUE,FALSE,2,"Yes, I know someone who hunts",NA,,TRUE,28,FALSE,FALSE,FALSE,5,4,5,2,2,5,5,5,1,2,1,2,3,4,1,5,5,4,4,7,1,1,3,1,1,1,1,5,3,3,2,1,1,4,5,4,2,3,5,1.6666666666666667,3.1666666666666665
R_600A9pMJ6g4sXKx,1584,100,TRUE,FALSE,2,"Yes, I know someone who hunts",NA,,TRUE,77,FALSE,FALSE,FALSE,5,4,5,2,2,4,5,5,3,2,1,1,2,4,1,5,5,3,3,6,1,1,4,3,1,5,5,4,4,4,5,5,1,1,5,1,1,1,4,2,1.6666666666666667
R_3txtGngEdhYyI16,1095,100,TRUE,TRUE,4,"Yes, I hunt or have hunted in the past",NA,"Ungulates (deer, elk),Predators (wolves, coyotes, foxes)",TRUE,47,TRUE,FALSE,TRUE,5,4,4,4,4,4,4,4,4,3,3,3,4,4,3,5,4,3,5,7,4,2,5,4,4,3,3,4,3,3,3,4,1,1,5,2,2,2,5,3.6666666666666665,2.1666666666666665
R_3iJz6vrdSABm5qz,824,100,TRUE,FALSE,2,"Yes, I know someone who hunts",NA,,TRUE,89,FALSE,FALSE,FALSE,5,4,5,4,4,5,5,5,2,3,1,1,4,5,2,5,5,4,3,5,2,1,5,1,4,3,5,3,4,5,3,2,1,1,5,4,1,4,4,2.6666666666666665,2.6666666666666665
R_3imo93rzF1hWVXW,596,100,TRUE,TRUE,2,No,NA,,TRUE,88,FALSE,FALSE,FALSE,5,4,5,1,4,5,5,4,1,1,1,1,1,4,1,5,4,2,5,4,2,1,5,1,1,4,1,1,2,5,5,1,1,1,5,2,1,1,3.6666666666666665,2.6666666666666665,1.8333333333333333
R_7rTAPyTU6TRalqx,461,100,TRUE,TRUE,3,"Yes, I know someone who hunts",NA,,TRUE,94,FALSE,FALSE,FALSE,5,4,3,2,3,4,5,5,1,2,1,1,3,4,1,5,5,4,5,4,3,1,2,2,1,3,2,1,4,5,2,2,1,2,5,4,1,4,4.333333333333333,2,2.8333333333333335
R_3yKs02hxZDlyayd,876,100,TRUE,TRUE,2,"Yes, I hunt or have hunted in the past",NA,"Predators (wolves, coyotes, foxes)",TRUE,27,FALSE,FALSE,TRUE,3,3,3,2,3,3,2,2,3,3,3,2,4,4,3,2,4,5,1,1,5,2,3,3,2,2,3,3,3,1,4,5,3,2,2,3,2,2,2.3333333333333335,3.3333333333333335,2.3333333333333335
R_51Jj666kDrlntO9,173,100,TRUE,FALSE,3,No,2,,TRUE,75,FALSE,FALSE,FALSE,4,3,3,3,2,3,3,2,1,5,3,3,2,2,3,4,2,2,4,2,5,2,4,1,3,4,2,2,3,3,4,3,2,4,3,4,1,1,2.6666666666666665,3.6666666666666665,2.5
R_1HYVp1JVeYK9alX,799,100,TRUE,TRUE,1,"Yes, I know someone who hunts",1,,TRUE,86,FALSE,FALSE,FALSE,5,2,5,1,2,4,3,3,1,1,2,1,2,4,1,5,3,5,2,7,4,1,5,1,1,5,1,2,1,5,4,2,1,1,5,4,1,1,4.666666666666667,3.3333333333333335,2.1666666666666665
R_7ajZ5tklH1vwncZ,553,100,TRUE,TRUE,1,No,1,,TRUE,32,FALSE,FALSE,FALSE,3,3,4,2,2,3,3,2,3,3,3,2,2,4,2,3,4,2,5,7,3,2,5,1,1,1,1,1,1,3,2,1,1,2,5,5,2,4,4.666666666666667,3.3333333333333335,3.1666666666666665
R_5eR9UKThDZYhc8L,1116,100,TRUE,TRUE,3,"Yes, I hunt or have hunted in the past",5,"Ungulates (deer, elk),Birds or small game (duck, rabbits, pheasants),Predators (wolves, coyotes, foxes)",TRUE,50,TRUE,TRUE,TRUE,5,2,5,3,5,5,5,5,4,2,5,5,5,5,3,5,5,2,5,5,3,2,5,4,1,2,2,4,4,4,4,4,3,3,3,3,3,3,4,3.3333333333333335,3
R_3NHrqxBChLYAMo1,1370,100,TRUE,TRUE,3,"Yes, I hunt or have hunted in the past",5,"Ungulates (deer, elk),Birds or small game (duck, rabbits, pheasants),Predators (wolves, coyotes, foxes)",TRUE,84,TRUE,TRUE,TRUE,5,4,5,4,5,3,5,5,4,2,5,4,5,5,2,5,5,3,7,5,3,1,5,4,1,4,2,4,4,4,4,4,1,1,5,1,1,1,5,3,1.6666666666666667
R_7Jsy66t19geH274,1558,100,TRUE,FALSE,2,No,1,,TRUE,32,FALSE,FALSE,FALSE,5,2,5,2,3,3,4,4,1,1,1,1,4,4,2,4,4,2,6,7,2,1,6,2,4,3,4,4,4,4,4,4,3,3,3,3,3,3,5,3,3
R_3waZLy3Ub7ygyHv,1249,100,TRUE,TRUE,2,"Yes, I know someone who hunts",1,,TRUE,81,FALSE,FALSE,FALSE,4,1,4,1,2,2,4,2,1,1,1,1,1,1,1,4,4,6,5,6,2,2,5,1,1,4,3,3,4,3,3,3,1,1,5,1,1,1,5.666666666666667,3,1.6666666666666667
